phone_1,phone_2,language_1,AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,sex_2,speaker_2,word_2,distance
g,g,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,57.22747,57.630109999999995,Mrajesh1_9,AGA,9,M,t_0966963,TGT,stimuli_raw/wav/Fbhavya1.wav,7,Fbhavya1_7,ENG,56.618730000000006,56.22,F,Fbhavya,AGA,0.21901035586666187
j,j,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,541.04764,541.47252,FNiralee1_70,AJA,70,F,t_0930328,TGT,stimuli_raw/wav/Mnirbhay1.wav,72,Mnirbhay1_72,ENG,496.28,495.76,M,Mnirbhay,AJA,0.21858587025763837
j,j,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,250.59,250.91,Mrajesh1_72,AJA,72,M,t_1060746,TGT,stimuli_raw/wav/Fbhavya1.wav,75,Fbhavya1_75,ENG,482.78475,482.43522,F,Fbhavya,AJA,0.22696975028793334
j,j,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,543.1124599999998,543.54403,FNiralee1_71,AJA,71,F,t_0927827,TGT,stimuli_raw/wav/Mnirbhay1.wav,70,Mnirbhay1_70,ENG,491.56,491.13545,M,Mnirbhay,AJA,0.2063556981334751
j,j,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,238.07,238.51,FNiralee2_67,AJA,67,F,t_0927637,TGT,stimuli_raw/wav/Mnirbhay1.wav,70,Mnirbhay1_70,ENG,491.56,491.13545,M,Mnirbhay,AJA,0.22574516810959955
j,j,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,541.04764,541.47252,FNiralee1_70,AJA,70,F,t_0448411,TGT,stimuli_raw/wav/Mnirbhay2.wav,71,Mnirbhay2_71,ENG,281.01,280.58,M,Mnirbhay,AJA,0.17668295169345302
j,j,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,192.95967,193.32,Mrajesh2_71,AJA,71,M,t_1058423,TGT,stimuli_raw/wav/Fbhavya1.wav,73,Fbhavya1_73,ENG,478.67035999999996,478.28,F,Fbhavya,AJA,0.21274051494095364
kʰ,kʰ,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,22.2458,22.8,FNiralee2_6,AKHA,6,F,t_0380070,TGT,stimuli_raw/wav/Mnirbhay2.wav,5,Mnirbhay2_5,ENG,21.19,20.64,M,Mnirbhay,AKHA,0.2426485867704737
kʰ,kʰ,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,63.858059999999995,64.39471,FNiralee1_4,AKHA,4,F,t_0380923,TGT,stimuli_raw/wav/Mnirbhay2.wav,6,Mnirbhay2_6,ENG,24.19,23.67,M,Mnirbhay,AKHA,0.22222545769487062
kʰ,kʰ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,19.21365,19.62,Mrajesh2_4,AKHA,4,M,t_0965575,TGT,stimuli_raw/wav/Fbhavya1.wav,6,Fbhavya1_6,ENG,43.35,42.9,F,Fbhavya,AKHA,0.271088551327581
