phone_1,phone_2,language_1,mean_dist,sd_dist,AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,sex_2,speaker_2,word_2,distance
dʱ,s,HIN,0.3627080564786488,0.01684703598429964,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,190.81563,191.2513,Mrajesh1_49,ADHA,49,M,t_0310258,OTH,stimuli_raw/wav/FNiralee2.wav,89,FNiralee2_89,ENG,350.62834,350.17028,F,FNiralee,ASA,0.35079540309125673
dʱ,tʰ,HIN,0.26741519306179024,0.05235796398686012,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,192.64545,193.08,Mrajesh1_50,ADHA,50,M,t_0551612,OTH,stimuli_raw/wav/FNiralee1.wav,43,FNiralee1_43,ENG,355.01847999999995,354.51901000000004,F,FNiralee,ATHA,0.23039252167756039
dʱ,t͡ʃʰ,HIN,0.26571005554962757,0.00389145802608912,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,173.71177,174.24,FNiralee2_49,ADHA,49,F,t_0429964,OTH,stimuli_raw/wav/Mrajesh1.wav,16,Mrajesh1_16,ENG,102.75,102.34576,M,Mrajesh,ATXHA,0.268461731908578
ɖ,ɾ,HIN,0.2967331322940907,0.002435983568646415,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,278.36311,278.81684,FNiralee1_35,ADRA,35,F,t_0410156,OTH,stimuli_raw/wav/Mrajesh1.wav,74,Mrajesh1_74,ENG,256.69,256.26,M,Mrajesh,ARA,0.2950106317938418
ɖ,ʃ,HIN,0.33644387280447924,0.033858991751184266,TgtOth,Mnirbhay,stimuli_raw/wav/Mnirbhay1.wav,233.08,233.54,Mnirbhay1_35,ADRA,35,M,t_1149200,OTH,stimuli_raw/wav/Fbhavya2.wav,82,Fbhavya2_82,ENG,241.95726000000002,241.57,F,Fbhavya,AXA,0.360385795475881
ɖ,b,HIN,0.2830626461260037,0.009603254039983454,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,96.7017,97.08,Mrajesh2_34,ADRA,34,M,t_0525817,OTH,stimuli_raw/wav/FNiralee2.wav,62,FNiralee2_62,ENG,211.32,210.86227000000002,F,FNiralee,ABA,0.27627212007287427
ɖ,d,HIN,0.22877435854293726,0.028445394980911896,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,126.16475,126.6761,FNiralee2_35,ADRA,35,F,t_0414233,OTH,stimuli_raw/wav/Mrajesh2.wav,47,Mrajesh2_47,ENG,129.07,128.7406,M,Mrajesh,ADA,0.24888829022746986
ɖ,d͡ʒ,HIN,0.2574670545697447,0.018104714233341604,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,96.7017,97.08,Mrajesh2_34,ADRA,34,M,t_1006630,OTH,stimuli_raw/wav/FNiralee2.wav,21,FNiralee2_21,ENG,75.07600000000001,74.57,F,FNiralee,ADXA,0.24466508836390427
ɖ,g,HIN,0.2550376599269296,0.01869178380315867,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,98.4695,98.85,Mrajesh2_35,ADRA,35,M,t_0527918,OTH,stimuli_raw/wav/FNiralee2.wav,9,FNiralee2_9,ENG,31.740540000000003,31.150879999999997,F,FNiralee,AGA,0.268254747006616
ɖ,j,HIN,0.3187474473637747,0.006394206757251301,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,149.09229,149.45944,Mrajesh1_36,ADRA,36,M,t_1008066,OTH,stimuli_raw/wav/FNiralee1.wav,72,FNiralee1_72,ENG,545.6378599999999,545.20555,F,FNiralee,AJA,0.31422606040541345
ɖ,kʰ,HIN,0.3564421147487309,0.007750499352899464,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,145.4397,145.82,Mrajesh1_34,ADRA,34,M,t_1008832,OTH,stimuli_raw/wav/FNiralee2.wav,4,FNiralee2_4,ENG,17.81,17.15,F,FNiralee,AKHA,0.3619225453987481
ɖ,l,HIN,0.2841967378042214,0.01340800118509899,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,278.36311,278.81684,FNiralee1_35,ADRA,35,F,t_0410228,OTH,stimuli_raw/wav/Mrajesh1.wav,78,Mrajesh1_78,ENG,267.83,267.46272,M,Mrajesh,ALA,0.2936776263643622
ɖ,m,HIN,0.331891321987443,0.012276624551904647,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,280.49093999999997,280.92381,FNiralee1_36,ADRA,36,F,t_0891912,OTH,stimuli_raw/wav/Mrajesh2.wav,69,Mrajesh2_69,ENG,187.88,187.55426,M,Mrajesh,AMA,0.3232104375167099
ɖ,n,HIN,0.27453298446105656,0.02005579584195034,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,126.16475,126.6761,FNiralee2_35,ADRA,35,F,t_0890912,OTH,stimuli_raw/wav/Mrajesh1.wav,53,Mrajesh1_53,ENG,200.86,200.47,M,Mrajesh,ANA,0.2603513952191205
ɖ,s,HIN,0.32358076859950163,0.012023670523214399,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,123.68566000000001,124.1817,FNiralee2_34,ADRA,34,F,t_0412936,OTH,stimuli_raw/wav/Mrajesh2.wav,90,Mrajesh2_90,ENG,242.28,241.92585,M,Mrajesh,ASA,0.33208278756121934
