AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,phone_1,language_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,phone_2,sex_2,speaker_2,word_2,distance
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,230.39151,230.76,Mrajesh1_64,ABHA,64,M,bʱ,HIN,t_1046932,OTH,stimuli_raw/wav/FNiralee2.wav,84,FNiralee2_84,ENG,336.21,335.74,ʃ,F,FNiralee,AXA,0.3834301553862463
OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,496.92613,497.37098,FNiralee1_65,ABHA,65,F,bʱ,HIN,t_0442492,OTH,stimuli_raw/wav/Mrajesh1.wav,82,Mrajesh1_82,ENG,281.96,281.56431000000003,ʃ,M,Mrajesh,AXA,0.36569770561830184
TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,496.92613,497.37098,FNiralee1_65,ABHA,65,F,bʱ,HIN,t_0441744,OTH,stimuli_raw/wav/Mrajesh2.wav,90,Mrajesh2_90,ENG,242.28,241.92585,s,M,Mrajesh,ASA,0.34187823289509
OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,180.16218,180.53,Mrajesh2_66,ABHA,66,M,bʱ,HIN,t_0563787,OTH,stimuli_raw/wav/FNiralee2.wav,88,FNiralee2_88,ENG,348.08423999999997,347.6,s,F,FNiralee,ASA,0.3538351871516073
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,180.16218,180.53,Mrajesh2_66,ABHA,66,M,bʱ,HIN,t_1051692,OTH,stimuli_raw/wav/FNiralee2.wav,93,FNiralee2_93,ENG,362.66,362.16167,ɦ,F,FNiralee,AHHA,0.31569479710541126
OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,231.85597,232.33,FNiralee2_65,ABHA,65,F,bʱ,HIN,t_0923601,OTH,stimuli_raw/wav/Mrajesh1.wav,93,Mrajesh1_93,ENG,308.45133,308.05748,ɦ,M,Mrajesh,AHHA,0.31092398769702273
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,183.93,184.38,Mrajesh2_67,AMA,67,M,m,ENG,t_0571477,OTH,stimuli_raw/wav/FNiralee1.wav,12,FNiralee1_12,HIN,108.69767,108.19187,ɡʱ,F,FNiralee,AGHA,0.3148034098216857
OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,527.96823,528.44725,FNiralee1_69,AMA,69,F,m,ENG,t_0445587,OTH,stimuli_raw/wav/Mrajesh1.wav,10,Mrajesh1_10,HIN,70.56,70.14459000000001,ɡʱ,M,Mrajesh,AGHA,0.3582374814185643
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,242.61,242.91,Mrajesh1_69,AMA,69,M,m,ENG,t_0569397,OTH,stimuli_raw/wav/FNiralee2.wav,26,FNiralee2_26,HIN,96.49,95.94,d͡ʒʱ,F,FNiralee,ADXHA,0.3758016040137327
OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,298.81,299.43,FNiralee2_72,AMA,72,F,m,ENG,t_0445110,OTH,stimuli_raw/wav/Mrajesh2.wav,26,Mrajesh2_26,HIN,76.80066,76.40547,d͡ʒʱ,M,Mrajesh,ADXHA,0.38838347469081325
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,242.61,242.91,Mrajesh1_69,AMA,69,M,m,ENG,t_1053546,OTH,stimuli_raw/wav/FNiralee2.wav,32,FNiralee2_32,HIN,117.9,117.36769,ʈʰ,F,FNiralee,ATRHA,0.3678952304469348
OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,527.96823,528.44725,FNiralee1_69,AMA,69,F,m,ENG,t_0443589,OTH,stimuli_raw/wav/Mrajesh1.wav,33,Mrajesh1_33,HIN,142.09,141.69,ʈʰ,M,Mrajesh,ATRHA,0.3375271199500076
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,187.55426,187.88,Mrajesh2_69,AMA,69,M,m,ENG,t_1055664,OTH,stimuli_raw/wav/FNiralee1.wav,36,FNiralee1_36,HIN,280.92381,280.49093999999997,ɖ,F,FNiralee,ADRA,0.3232104375167099
OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,527.96823,528.44725,FNiralee1_69,AMA,69,F,m,ENG,t_0444147,OTH,stimuli_raw/wav/Mrajesh2.wav,34,Mrajesh2_34,HIN,97.08,96.7017,ɖ,M,Mrajesh,ADRA,0.34399702226744777
TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,242.61,242.91,Mrajesh1_69,AMA,69,M,m,ENG,t_0568101,OTH,stimuli_raw/wav/FNiralee2.wav,37,FNiralee2_37,HIN,132.9209,132.37637,ɖʱ,F,FNiralee,ADRHA,0.3594549738997825
