phone_X,language_X,AB_Order,speaker_X,file_X,onset_X,offset_X,item_X,word_X,interval_X,sex_X,triplet_id,distance_OTH,phone_OTH,file_OTH,interval_OTH,item_OTH,language_OTH,offset_OTH,onset_OTH,sex_OTH,speaker_OTH,word_OTH,distance_TGT,phone_TGT,file_TGT,interval_TGT,item_TGT,language_TGT,offset_TGT,onset_TGT,sex_TGT,speaker_TGT,word_TGT
m,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,187.55426,187.88,Mrajesh2_69,AMA,69,M,t_1055664,0.32321043751671,ɖ,stimuli_raw/wav/FNiralee1.wav,36,FNiralee1_36,HIN,280.92381,280.49094,F,FNiralee,ADRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
n,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,184.88,185.38,FNiralee2_53,ANA,53,F,t_0912782,0.317124251973533,ɖʱ,stimuli_raw/wav/Mrajesh1.wav,37,Mrajesh1_37,HIN,152.86,152.43025,M,Mrajesh,ADRHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
n,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,182.63703,183.07,FNiralee2_52,ANA,52,F,t_0912619,0.317105042867194,ɡʱ,stimuli_raw/wav/Mrajesh1.wav,12,Mrajesh1_12,HIN,74.05,73.69,M,Mrajesh,AGHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
n,ENG,TgtOth,Fbhavya,stimuli_raw/wav/Fbhavya1.wav,355.67,356.0774,Fbhavya1_52,ANA,52,F,t_0673861,0.359017100485012,ɳ,stimuli_raw/wav/Mnirbhay1.wav,108,Mnirbhay1_108,HIN,764.31886,763.84005,M,Mnirbhay,ANRA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
n,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee2.wav,187.14128,187.65,FNiralee2_54,ANA,54,F,t_0915141,0.27977705300024,ɽ,stimuli_raw/wav/Mrajesh1.wav,104,Mrajesh1_104,HIN,338.69898,338.33398,M,Mrajesh,ARTA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
n,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,149.07837,149.41,Mrajesh2_54,ANA,54,M,t_0555824,0.319444454405005,ʈʰ,stimuli_raw/wav/FNiralee1.wav,31,FNiralee1_31,HIN,256.82063,256.32772,F,FNiralee,ATRHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,693.8913,694.39174,FNiralee1_88,ASA,88,F,t_0942244,0.376137549162701,dʱ,stimuli_raw/wav/Mrajesh2.wav,50,Mrajesh2_50,HIN,140.11,139.80311,M,Mrajesh,ADHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,240.12,240.59,Mrajesh2_89,ASA,89,M,t_0591674,0.330840746138015,d͡ʒʱ,stimuli_raw/wav/FNiralee2.wav,26,FNiralee2_26,HIN,96.49,95.94,F,FNiralee,ADXHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s,ENG,TgtOth,FNiralee,stimuli_raw/wav/FNiralee2.wav,350.17028,350.62834,FNiralee2_89,ASA,89,F,t_0943226,0.345874916794198,ɖʱ,stimuli_raw/wav/Mrajesh2.wav,37,Mrajesh2_37,HIN,104.12,103.75913,M,Mrajesh,ADRHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
s,ENG,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,298.82232,299.19,Mrajesh1_89,ASA,89,M,t_1075745,0.32099821653053,ɡʱ,stimuli_raw/wav/FNiralee2.wav,11,FNiralee2_11,HIN,46.10166,45.51187,F,FNiralee,AGHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
