phone_1,phone_2,language_1,AB_Order,speaker_1,file_1,onset_1,offset_1,item_1,word_1,interval_1,sex_1,triplet_id,target_other,file_2,interval_2,item_2,language_2,offset_2,onset_2,sex_2,speaker_2,word_2,distance
ɡʱ,l,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,73.69,74.05,Mrajesh1_12,AGHA,12,M,t_0975915,OTH,stimuli_raw/wav/FNiralee2.wav,76,FNiralee2_76,ENG,311.56919,311.10414,F,FNiralee,ALA,0.3332451338415101
ɡʱ,m,HIN,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,108.19187,108.69767,FNiralee1_12,AGHA,12,F,t_0386865,OTH,stimuli_raw/wav/Mrajesh1.wav,68,Mrajesh1_68,ENG,241.05,240.72,M,Mrajesh,AMA,0.32867092104105844
ɡʱ,tʰ,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,71.9268,72.34,Mrajesh1_11,AGHA,11,M,t_0490001,OTH,stimuli_raw/wav/FNiralee2.wav,43,FNiralee2_43,ENG,151.6,151.1213,F,FNiralee,ATHA,0.21849330308237935
ɡʱ,ɾ,HIN,TgtOth,FNiralee,stimuli_raw/wav/FNiralee1.wav,103.95576,104.46157,FNiralee1_10,AGHA,10,F,t_0867934,OTH,stimuli_raw/wav/Mrajesh1.wav,73,Mrajesh1_73,ENG,254.83,254.44351,M,Mrajesh,ARA,0.3123111204700778
ɡʱ,ʃ,HIN,TgtOth,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,34.12889000000001,34.52,Mrajesh2_10,AGHA,10,M,t_0972475,OTH,stimuli_raw/wav/FNiralee1.wav,83,FNiralee1_83,ENG,649.87823,649.4161,F,FNiralee,AXA,0.3266916093597508
ɦ,bʱ,ENG,OthTgt,FNiralee,stimuli_raw/wav/FNiralee1.wav,710.88793,711.3706900000003,FNiralee1_91,AHHA,91,F,t_0944962,OTH,stimuli_raw/wav/Mrajesh1.wav,66,Mrajesh1_66,HIN,234.52,234.08174,M,Mrajesh,ABHA,0.3156424979070474
ɦ,d͡ʒʱ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,308.05748,308.45133,Mrajesh1_93,AHHA,93,M,t_0595833,OTH,stimuli_raw/wav/FNiralee2.wav,25,FNiralee2_25,HIN,94.09103,93.5,F,FNiralee,ADXHA,0.3461809930456311
ɦ,ɖʱ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,245.02168999999998,245.38223,Mrajesh2_91,AHHA,91,M,t_0593845,OTH,stimuli_raw/wav/FNiralee1.wav,38,FNiralee1_38,HIN,298.35,297.88,F,FNiralee,ADRHA,0.32143170382438746
ɦ,ɡʱ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh1.wav,308.05748,308.45133,Mrajesh1_93,AHHA,93,M,t_0595821,OTH,stimuli_raw/wav/FNiralee2.wav,12,FNiralee2_12,HIN,48.883959999999995,48.25,F,FNiralee,AGHA,0.3061261354906361
ɦ,ɽ,ENG,OthTgt,Mrajesh,stimuli_raw/wav/Mrajesh2.wav,245.02168999999998,245.38223,Mrajesh2_91,AHHA,91,M,t_0595369,OTH,stimuli_raw/wav/FNiralee1.wav,106,FNiralee1_106,HIN,905.2932300000001,904.8725699999999,F,FNiralee,ARTA,0.3308985973735063
